gene	neg.1	neg.2	day1.1	day1.2
NM_058187	3.11	3.06	6.54	2.95
NM_015534	285	463	186	394
NM_138473	86.7	188	92.4	178
NM_173544	12.4	5.69	6.73	8.89
NM_032338	2540	5750	2300	4480
THC2311186	210	389	315	390
AF116684	3.07	4.13	6.93	2.94
NM_020773	3350	6060	3760	4940
NM_177528	320	609	293	546
NM_018971	3.08	3.06	7.12	2.92
NM_013448	645	1180	623	791
AI709405	24.1	34.3	25.4	36.5
DarkCorner	3.1	3.04	7.28	2.88
DarkCorner	3.11	3.03	7.33	2.87
DarkCorner	3.13	3.02	7.36	2.85
DarkCorner	3.14	3.01	7.39	2.83
DarkCorner	3.16	3	7.42	2.81
DarkCorner	3.18	2.98	7.43	2.78
DarkCorner	3.19	2.97	7.44	2.76
DarkCorner	3.21	2.95	7.43	2.73
DarkCorner	7.02	2.65	6.66	2.65
DarkCorner	7.12	2.67	6.8	2.68
DarkCorner	7.21	4.57	6.93	2.7
DarkCorner	7.28	2.71	7.05	2.72
DarkCorner	7.34	2.72	7.15	2.73
DarkCorner	7.68	2.74	7.23	2.75
DarkCorner	7.4	2.75	7.3	2.76
DarkCorner	7.4	2.76	7.35	2.77
NM_006252	10.5	27.7	7.39	16.4
NM_000486	7.38	9	16.8	4.08
NM_033411	429	608	326	631
ENST00000341249	1460	2370	671	2240
NM_022558	7.17	2.82	7.41	2.83
AF317680	1270	2760	2140	2640
A_32_P132169	7.02	3.8	7.36	3.55
ENST00000237763	9000	18500	3400	14300
AK097528	6.83	2.85	7.27	2.84
NM_153371	526	803	577	734
BC053841	61	107	116	99.8
NM_002651	3120	3900	4080	3840
NM_002229	197	396	365	368
NM_181077	208	505	344	364
BX641037	142	257	194	276
A_32_P58029	73.2	100	68	100
NM_199180	1050	1920	1890	2850
NM_033244	5140	7220	6830	8220
THC2281107	33.6	36.2	24.9	31.4
AK021985	16.3	32.6	23.5	37.6
NM_080869	5.32	24.6	6.46	4.37
A_32_P86616	33.3	66.6	41.3	63.1
NM_178822	5.09	2.91	6.34	2.85
AK094947	4.98	2.91	6.29	2.85
NM_014657	210	315	139	168
NM_198568	6.39	9.22	6.19	5.2
AF314543	4.66	2.92	6.15	2.86
NM_014372	3850	7800	6610	9010
NM_016121	1470	2520	1700	2350
NR_002727	65.3	36.2	53.8	28
NM_139167	4.29	2.94	6.01	2.86
NM_000062	4.2	2.94	5.98	3.53
NM_032572	9.84	8.29	5.96	6.56
NM_016732	4150	3430	3620	2940
THC2317110	54.2	79.3	157	255
NM_005560	308	500	511	733
NM_198833	169	273	268	321
A_24_P752362	874	1160	777	710
NM_032497	195	269	216	227
ENST00000329610	38.2	43.5	34.8	42.5
A_24_P913096	3.97	2.99	5.94	3.92
NM_005314	4.55	6.28	5.95	5.2
THC2268736	51	64.2	60.8	52.3
THC2262874	49.8	93	69.7	115
NM_173464	3.4	3.02	6.03	2.92
AL109704	3.36	3.02	6.06	8.51
NM_005080	5580	9930	7240	7780
ENST00000356572	284	420	409	383
ENST00000302001	16.6	31.6	20.5	41.7
AF335478	34900	53800	42300	54100
NM_020974	23.3	37	45.1	130
THC2379964	3.18	3.05	6.33	2.95
AK074620	3.31	5.79	6.38	7.69
NM_032112	3330	6270	1920	6610
NM_014773	690	1280	354	1010
NM_014106	37.7	57.8	18.7	45.7
NM_000613	17.2	11.1	12.3	12.5
NM_020648	181	383	150	422
AA234275	13.2	21.9	6.77	19
NM_003426	1050	1730	620	839
NM_147189	10.8	9.95	11.9	19.1
NM_017712	16.6	29.7	39.5	50.1
NM_005559	3.08	3.07	7.02	2.94
XM_926224	68.1	125	68.7	132
THC2440422	14	18.4	7.15	23
AF116651	3.1	3.06	7.2	2.91
BC035312	3.11	3.05	7.25	2.9
DarkCorner	3.12	3.04	7.3	3.2
DarkCorner	3.14	3.03	7.34	2.87
DarkCorner	3.15	3.02	7.38	2.85
DarkCorner	3.17	3.01	7.41	2.83
DarkCorner	3.19	3	7.42	2.81
DarkCorner	3.2	2.98	7.43	2.78
DarkCorner	3.22	2.96	7.43	2.75
DarkCorner	3.24	2.94	7.42	2.73
DarkCorner	6.94	2.64	6.6	2.65
DarkCorner	7.05	2.66	8.21	2.67
DarkCorner	7.15	2.68	6.9	2.69
DarkCorner	7.22	2.7	7.01	2.71
DarkCorner	7.29	2.72	7.12	2.73
DarkCorner	7.34	2.73	7.21	2.75
DarkCorner	13.5	2.75	7.29	2.76
DarkCorner	7.38	2.76	7.35	2.77
NM_020753	26	91	50.4	80.7
ENST00000368646	1250	1840	962	1230
NM_018090	6180	8110	4090	8510
NM_014415	1090	1420	764	1060
ENST00000270720	7.25	7.21	7.45	4.71
NM_181659	2760	2010	2820	2280
NM_004693	7.12	2.83	7.42	2.83
NM_145177	714	1540	933	1780
NM_003707	174	413	57.8	275
BE671182	39.3	86.6	48.2	92.5
NM_207644	83.2	160	162	235
AK055963	52.6	59.6	58	59.4
NM_024764	6.55	2.86	7.14	2.85
NM_005935	59.6	72	177	74.8
BC033126	53.9	54.5	62.1	62
NM_001001716	1070	1530	1640	1030
NM_003810	6.08	9.3	12.9	7.5
AL136548	441	418	498	443
THC2407330	67.5	94.1	100	130
NM_139118	2300	3880	3480	3720
NM_004972	112	193	179	252
AF015521	81.4	108	101	97.7
NM_058237	278	650	470	764
THC2313044	12.7	45.4	9.89	15.5
NM_006260	587	482	683	628
NM_001009924	1630	3720	2550	3250
NM_024519	60.1	88.6	95.9	109
NM_007005	4.82	2.92	6.22	2.86
A_24_P290188	84.6	150	116	135
NM_003813	9.07	13.5	22	31.1
NM_016619	1640	3920	1620	2570
A_32_P8971	471	827	606	784
A_23_P68138	18.7	18.3	20.9	16.9
NM_058199	8	8.47	5.99	8.06
NM_004380	61.3	40.6	45.8	39.2
THC2308781	5940	9290	5780	7820
NM_024815	119	173	146	211
NegativeControl	3.94	2.96	5.92	7.56
NM_005249	933	1450	1060	1370
NM_023942	47.2	47	37.7	43.6
NM_006474	3.74	2.98	5.91	2.9
AK022030	1660	2930	1450	2000
NM_004464	3.62	2.99	5.93	2.91
DB380193	42	62.1	45.3	60.1
NM_001335	3.52	3	5.96	4.09
A_24_P521544	875	1670	1210	1540
NM_016039	31900	57600	39600	49200
NM_001237	1020	2200	749	1320
NM_015385	7.15	9.69	14.3	14.6
BX108302	18.8	21.6	17.2	13.8
THC2271663	3.28	3.04	6.16	2.94
NM_153003	3.25	3.04	6.2	2.95
NM_005400	6.04	13.3	6.25	5.16
AL833372	3.2	3.05	6.3	2.96
NM_022165	509	840	681	1250
NM_004178	3750	6760	1080	2880
NM_001029997	80.7	165	64	179
AK025631	153	276	155	425
AT_ssH_TR_5	162	303	96.9	211
NM_003791	289	600	304	552
AI192327	109	162	49.7	143
BC035912	9.13	10.2	6.79	9.13
AL833366	3.09	3.08	6.86	2.96
AF130049	3.09	3.08	6.93	2.95
NM_178175	3.1	4.1	6.99	2.95
AK096176	19.7	29	31.3	60.3
NM_005745	4830	8470	4440	8210
NM_002420	3.11	3.07	7.17	2.92
AK131269	456	828	732	931
NM_031844	11300	21100	14800	18400
DarkCorner	3.15	3.04	7.32	2.88
DarkCorner	3.16	3.03	7.36	2.87
DarkCorner	3.17	3.02	7.39	2.85
DarkCorner	3.19	3.01	7.42	2.83
DarkCorner	3.21	2.99	7.43	2.8
DarkCorner	12.4	2.98	7.43	2.78
DarkCorner	3.25	3.46	7.43	2.75
DarkCorner	6.97	2.66	6.7	2.66
DarkCorner	7.08	2.68	6.85	2.68
DarkCorner	7.17	2.69	6.98	2.7
DarkCorner	7.24	2.71	7.09	2.73
DarkCorner	7.3	2.73	7.19	2.74
DarkCorner	7.33	2.74	7.27	2.76
DarkCorner	7.35	2.76	7.34	2.77
NM_004169	183	813	713	1010
NM_001008529	205	521	385	512
AK074630	7.34	2.79	7.45	2.8
NM_004742	108	108	60.6	117
NM_015404	218	229	98.3	201
NM_024598	22100	22900	12100	24000
NM_000639	7.14	2.83	7.44	2.83
AK000995	9.2	18.1	7.42	22.3
THC2441925	6.98	2.84	7.38	2.84
NM_145039	3030	2990	1010	2440
NM_000961	6.8	3.87	7.29	2.85
RC2	6.69	2.86	7.24	2.85
NM_080789	22.9	37.8	58.3	29.8
NM_020990	696	1150	747	991
NM_052903	170	530	444	530
NM_000222	6.25	2.87	7	2.86
NR_002205	5090	6850	16300	11200
AK023772	6.01	7.46	6.86	10.3
NM_016116	5.89	2.89	6.79	2.86
NM_014569	1090	1610	1510	1660
ENST00000284414	33.1	49.5	41.4	51.8
NM_006441	3520	6430	4660	6100
A_32_P209250	5.42	2.9	6.53	2.86
NM_006648	9.29	28.6	6.47	15.7
NM_014827	111	144	131	143
NM_005444	231	414	330	378
NM_002208	1860	3520	2840	3490
NM_139076	192	386	209	315
NM_130459	44.4	62.1	75.2	55.4
AF268194	4.66	2.92	6.15	2.87
NM_018845	717	922	625	711
NM_003466	555	711	624	676
NM_032440	201	390	122	177
NM_001271	7.53	2.94	6.01	7.11
NM_020929	4.21	2.94	5.98	2.88
NM_004058	74.3	58	90.1	108
AK022020	1270	1020	1570	1200
NM_030752	80000	132000	81300	103000
NM_152604	292	336	225	201
L27175	8.64	2.97	5.91	7.49
NM_004389	3.77	2.98	5.91	5.07
NM_012276	20.6	19	18.3	13.7
NM_006758	52500	69400	64000	59800
NR_002208	69.2	67.4	52	51.1
A_24_P691775	787	1100	815	999
NM_020744	720	1330	1040	1450
